Level1_Name,Level2_Name,Level3_Name,Level4_Name
Project Initiation,Contract & Award Finalization,Contract Finalization,Review and negotiate LOA/EPC contract terms
,,,Submit performance bank guarantee
,Project Kick-off & Mobilization Planning,Kick-off Activities,Conduct internal project kick-off meeting
,,,Prepare team mobilization plan
,,,Define project organization chart and roles/responsibilities
,,Project Charter & Baseline Setup,Prepare project charter and scope baseline
,,,"Set up project numbering, filing and communication protocol"
,Insurance & Risk Transfer Setup,Insurance Procurement,Issue Contractors All Risk / Erection All Risk insurance policy
,,,Issue third-party liability insurance policy
Land Acquisition & Site Control,Land Identification & Due Diligence,Title & Legal Due Diligence,"Verify land title, encumbrance and mutation records"
,,,Conduct revenue record and litigation search
,,,Obtain legal opinion on title clearance
,Land Acquisition / Lease Execution,Acquisition Process,Negotiate and execute sale/lease deed
,,,Register land documents with revenue authority
,,,Process land use conversion (agriculture to industrial/non-agriculture)
,Site Possession & Boundary Demarcation,Physical Possession,Conduct topographic boundary survey
,,,Install boundary marker pillars
,,,Resolve encroachment/right-of-way disputes
"Survey, Geotechnical & Environmental Studies",Topographic & Resource Survey,Site Survey,Conduct drone/total-station topographic survey
,,,Prepare contour map and site grading plan
,,,Install/verify solar irradiance monitoring station
,,,Validate satellite irradiance data against ground measurement
,Geotechnical Investigation,Soil Study,Conduct soil boring and SPT tests at grid locations
,,,Conduct soil resistivity test for earthing design
,,,Issue geotechnical report with foundation/pile recommendations
,Environmental & Social Studies,Environmental Baseline,Conduct flora/fauna and ecological baseline study
,,,Conduct Environmental & Social Impact Assessment (ESIA) if required
,,,Prepare Environmental Management Plan (EMP)
Statutory Approvals & Licensing,Central/State Regulatory Approvals,Power Evacuation Approvals,Obtain connectivity/feasibility approval from STU/CTU
,,,Obtain Long Term Open Access (LTOA)/transmission approval
,,,Sign Power Purchase Agreement (PPA) / Power Sale Agreement
,Site-Level Clearances,Land & Construction Clearances,Obtain change of land use (CLU) / non-agricultural certificate
,,,Obtain forest/wildlife clearance if applicable
,,,Obtain height clearance (AAI/Defence) for structures
,"Environment, Health & Safety Clearances",Statutory EHS Approvals,Obtain Consent to Establish (CTE) from pollution control board
,,,Obtain factory/electrical inspectorate registration
,,,Obtain fire NOC for control room/BESS building
